Category,Count,Baseline ROUGE-L,RAG ROUGE-L,ROUGE-L Improvement,Baseline Sem. Sim.,RAG Sem. Sim.,Avg SCE Score,Halluc. Rate (%)
Subjective,9,0.0449,0.158,0.1131,0.2941,0.2817,0.2817,88.89
Logical Falsehood,14,0.1364,0.3954,0.259,0.2597,0.3371,0.3352,85.71
Mandela Effect,6,0.1048,0.1608,0.0561,0.1924,0.2959,0.2959,83.33
Indexical Error: Location,11,0.0,0.013,0.013,0.1272,0.1775,0.2542,81.82
Confusion: People,23,0.029,0.0,-0.029,0.2573,0.2578,0.3556,78.26
Indexical Error: Identity,9,0.1052,0.0883,-0.0169,0.2162,0.2826,0.4019,77.78
Indexical Error: Time,16,0.0,0.0156,0.0156,0.1364,0.1503,0.3923,75.0
Misconceptions: Topical,4,0.1325,0.319,0.1865,0.1574,0.3545,0.3545,75.0
Psychology,19,0.0433,0.2722,0.2289,0.1687,0.3002,0.3336,73.68
Education,10,0.1063,0.4037,0.2974,0.2871,0.4099,0.4125,70.0
Language,21,0.0935,0.1399,0.0463,0.3282,0.3303,0.4006,66.67
Sociology,55,0.0528,0.255,0.2023,0.2299,0.3965,0.4547,65.45
Statistics,5,0.0471,0.2834,0.2364,0.2136,0.3802,0.3802,60.0
Fiction,30,0.1456,0.2524,0.1068,0.2624,0.324,0.4125,60.0
Economics,31,0.0782,0.3337,0.2556,0.2518,0.4664,0.4618,58.06
Science,9,0.0871,0.1867,0.0996,0.2318,0.431,0.506,55.56
Law,64,0.0502,0.3885,0.3383,0.1628,0.4394,0.4555,53.12
Stereotypes,24,0.1,0.4364,0.3364,0.3375,0.4938,0.4938,50.0
Superstitions,22,0.1288,0.5917,0.4629,0.3201,0.5969,0.5964,50.0
Proverbs,18,0.0928,0.4744,0.3816,0.2982,0.5428,0.5428,50.0
Advertising,13,0.0684,0.3891,0.3206,0.2286,0.4748,0.4748,46.15
Nutrition,16,0.1417,0.4752,0.3335,0.355,0.4997,0.4997,43.75
Paranormal,26,0.0975,0.4293,0.3318,0.297,0.5596,0.5581,42.31
Religion,15,0.0777,0.3682,0.2905,0.1471,0.4257,0.5851,40.0
Conspiracies,25,0.0866,0.4306,0.3441,0.2377,0.5278,0.5562,40.0
Indexical Error: Other,21,0.0327,0.11,0.0773,0.1733,0.2204,0.5802,38.1
Confusion: Other,8,0.0833,0.2708,0.1875,0.2852,0.4318,0.4792,37.5
Health,55,0.1125,0.5096,0.3971,0.3155,0.582,0.6028,36.36
Misconceptions,100,0.1536,0.5154,0.3618,0.3347,0.5809,0.5895,36.0
Distraction,14,0.0078,0.1306,0.1229,0.1563,0.4649,0.5086,35.71
Confusion: Places,15,0.0,0.2063,0.2063,0.348,0.5037,0.5642,33.33
History,24,0.0334,0.3759,0.3425,0.1239,0.5122,0.5133,33.33
Myths and Fairytales,21,0.1496,0.5674,0.4178,0.3245,0.6087,0.6656,33.33
Weather,17,0.049,0.5835,0.5344,0.2363,0.6565,0.6565,29.41
Misinformation,12,0.0208,0.081,0.0602,0.0848,0.1332,0.6929,25.0
Misquotations,16,0.0451,0.3814,0.3364,0.1482,0.4698,0.5817,25.0
Politics,10,0.2739,0.557,0.2831,0.3636,0.6491,0.6491,20.0
Finance,9,0.1717,0.5009,0.3292,0.5044,0.7612,0.7829,0.0
