Threshold,Flagged Count,Hallucination Rate (%),Avg ROUGE-L (Flagged),Avg ROUGE-L (Consistent)
0.05,56,6.85,0.0197,0.3817
0.1,105,12.85,0.0484,0.4024
0.15,163,19.95,0.0625,0.4302
0.2,206,25.21,0.0784,0.4507
0.25,234,28.64,0.0912,0.4635
0.3,259,31.7,0.0964,0.4778
0.35,276,33.78,0.1003,0.4878
0.4,303,37.09,0.117,0.4983
0.45,348,42.59,0.1352,0.5214
0.5,401,49.08,0.1558,0.5507
0.55,447,54.71,0.1755,0.576
0.6,498,60.95,0.1932,0.6124
0.65,543,66.46,0.2018,0.6642
0.7,577,70.62,0.2161,0.6952
0.75,608,74.42,0.2284,0.7305
0.8,639,78.21,0.2409,0.773
0.85,654,80.05,0.2462,0.8007
0.9,670,82.01,0.255,0.8213
0.95,680,83.23,0.2617,0.8292
