Threshold (τ),Flagged Count,Hallucination Rate (%),Avg ROUGE-L (Flagged),Avg ROUGE-L (Consistent),Quality Gap (Δ ROUGE-L),Precision,Recall,F1 Score
0.05,2,0.24,0.25,0.5113,0.2613,0.5,0.005,0.009
0.1,4,0.49,0.125,0.5126,0.3876,0.75,0.014,0.027
0.15,10,1.22,0.0964,0.5158,0.4194,0.9,0.041,0.078
0.2,20,2.45,0.1038,0.5209,0.4171,0.8,0.072,0.133
0.25,33,4.04,0.0743,0.5291,0.4548,0.848,0.127,0.22
0.3,46,5.63,0.0837,0.5362,0.4525,0.87,0.181,0.3
0.35,68,8.32,0.0951,0.5484,0.4533,0.853,0.262,0.401
0.4,88,10.77,0.1105,0.559,0.4485,0.795,0.317,0.453
0.45,112,13.71,0.1336,0.5706,0.437,0.732,0.371,0.492
0.5,139,17.01,0.1414,0.5864,0.445,0.705,0.443,0.544
0.55,169,20.69,0.1502,0.6047,0.4545,0.704,0.538,0.61
0.6,197,24.11,0.1622,0.6214,0.4592,0.68,0.606,0.641
0.65,235,28.76,0.169,0.6486,0.4796,0.672,0.715,0.693
0.7,276,33.78,0.1837,0.6775,0.4938,0.627,0.783,0.696
0.75,310,37.94,0.1961,0.7031,0.507,0.587,0.824,0.685
0.8,371,45.41,0.2215,0.7512,0.5297,0.52,0.873,0.652
0.85,416,50.92,0.2393,0.7923,0.553,0.49,0.923,0.641
0.9,492,60.22,0.2783,0.8624,0.5841,0.425,0.946,0.586
0.95,562,68.79,0.3238,0.9226,0.5988,0.383,0.973,0.549
